year,Entity,depression_pct
1950,Greenland,
1950,Greenland,
1951,Greenland,
1951,Greenland,
1952,Greenland,
1952,Greenland,
1953,Greenland,
1953,Greenland,
1954,Greenland,
1954,Greenland,
1955,Greenland,
1955,Greenland,
1956,Greenland,
1956,Greenland,
1957,Greenland,
1957,Greenland,
1958,Greenland,
1958,Greenland,
1959,Greenland,
1959,Greenland,
1960,Greenland,
1960,Greenland,
1961,Greenland,
1961,Greenland,
1962,Greenland,
1962,Greenland,
1963,Greenland,
1963,Greenland,
1964,Greenland,
1964,Greenland,
1965,Greenland,
1965,Greenland,
1966,Greenland,
1966,Greenland,
1967,Greenland,
1967,Greenland,
1968,Greenland,
1968,Greenland,
1969,Greenland,
1969,Greenland,
1970,Greenland,
1970,Greenland,
1971,Greenland,
1971,Greenland,
1972,Greenland,
1972,Greenland,
1973,Greenland,
1973,Greenland,
1974,Greenland,
1974,Greenland,
1975,Greenland,
1975,Greenland,
1976,Greenland,
1976,Greenland,
1977,Greenland,
1977,Greenland,
1978,Greenland,
1978,Greenland,
1979,Greenland,
1979,Greenland,
1980,Greenland,
1980,Greenland,
1981,Greenland,
1981,Greenland,
1982,Greenland,
1982,Greenland,
1983,Greenland,
1983,Greenland,
1984,Greenland,
1984,Greenland,
1985,Greenland,
1985,Greenland,
1986,Greenland,
1986,Greenland,
1987,Greenland,
1987,Greenland,
1988,Greenland,
1988,Greenland,
1989,Greenland,
1989,Greenland,
1990,Greenland,6.282583
1990,Greenland,
1990,Greenland,
1990,Greenland,
1991,Greenland,6.382405
1991,Greenland,
1991,Greenland,
1991,Greenland,
1992,Greenland,6.472683
1992,Greenland,
1992,Greenland,
1992,Greenland,
1993,Greenland,6.539495
1993,Greenland,
1993,Greenland,
1993,Greenland,
1994,Greenland,6.582469
1994,Greenland,
1994,Greenland,
1994,Greenland,
1995,Greenland,6.602754
1995,Greenland,
1995,Greenland,
1995,Greenland,
1996,Greenland,6.60125
1996,Greenland,
1996,Greenland,
1996,Greenland,
1997,Greenland,6.598258
1997,Greenland,
1997,Greenland,
1997,Greenland,
1998,Greenland,6.586734
1998,Greenland,
1998,Greenland,
1998,Greenland,
1999,Greenland,6.569485
1999,Greenland,
1999,Greenland,
1999,Greenland,
2000,Greenland,6.550382
2000,Greenland,
2000,Greenland,
2000,Greenland,
2001,Greenland,6.53671
2001,Greenland,
2001,Greenland,
2001,Greenland,
2002,Greenland,6.516106
2002,Greenland,
2002,Greenland,
2002,Greenland,
2003,Greenland,6.493666
2003,Greenland,
2003,Greenland,
2003,Greenland,
2004,Greenland,6.477752
2004,Greenland,
2004,Greenland,
2004,Greenland,
2005,Greenland,6.464308
2005,Greenland,
2005,Greenland,
2005,Greenland,
2006,Greenland,6.46411
2006,Greenland,
2006,Greenland,
2006,Greenland,
2007,Greenland,6.458273
2007,Greenland,
2007,Greenland,
2007,Greenland,
2008,Greenland,6.453793
2008,Greenland,
2008,Greenland,
2008,Greenland,
2009,Greenland,6.440824
2009,Greenland,
2009,Greenland,
2009,Greenland,
2010,Greenland,6.429117
2010,Greenland,
2010,Greenland,
2010,Greenland,
2011,Greenland,6.416705
2011,Greenland,
2011,Greenland,
2011,Greenland,
2012,Greenland,6.395983
2012,Greenland,
2012,Greenland,
2012,Greenland,
2013,Greenland,6.372324
2013,Greenland,
2013,Greenland,
2013,Greenland,
2014,Greenland,6.346992
2014,Greenland,
2014,Greenland,
2014,Greenland,
2015,Greenland,6.314134
2015,Greenland,
2015,Greenland,
2015,Greenland,
2016,Greenland,6.272119
2016,Greenland,
2016,Greenland,
2016,Greenland,
2017,Greenland,6.233635
2017,Greenland,
2017,Greenland,
2017,Greenland,
2018,Greenland,
2018,Greenland,
2019,Greenland,
2019,Greenland,
1800,Lesotho,
1800,Lesotho,
